away_goals,year,home_behinds,home_goals,away_behinds,away_team,home_team,venue,home_score,away_score,roundname,winner
8,2015,6,17,6,Melbourne,Fremantle,Subiaco,108,54,Round 22,Fremantle
10,2015,12,16,7,North Melbourne,Richmond,Docklands,108,67,Round 23,Richmond
11,2015,17,17,14,Adelaide,Geelong,GMHBA Stadium,119,80,Round 23,Geelong
19,2015,16,19,8,Western Bulldogs,Brisbane Lions,Gabba,130,122,Round 23,Brisbane Lions
8,2015,14,18,5,Fremantle,Port Adelaide,Adelaide Oval,122,53,Round 23,Port Adelaide
8,2015,11,17,8,Carlton,Hawthorn,M.C.G.,113,56,Round 23,Hawthorn
9,2015,13,19,10,Gold Coast,Sydney,S.C.G.,127,64,Round 23,Sydney
4,2015,17,18,6,St Kilda,West Coast,Subiaco,125,30,Round 23,West Coast
11,2015,13,15,11,Greater Western Sydney,Melbourne,Docklands,103,77,Round 23,Melbourne
14,2015,8,14,11,Essendon,Collingwood,M.C.G.,92,95,Round 23,Essendon
9,2015,12,14,10,Hawthorn,West Coast,Subiaco,96,64,Qualifying Final,West Coast
7,2015,9,10,18,Sydney,Fremantle,Subiaco,69,60,Qualifying Final,Fremantle
16,2015,18,14,13,Adelaide,Western Bulldogs,M.C.G.,102,109,Elimination Final,Adelaide
15,2015,4,14,15,North Melbourne,Richmond,M.C.G.,88,105,Elimination Final,North Melbourne
8,2015,9,21,13,Adelaide,Hawthorn,M.C.G.,135,61,Semi-Final,Hawthorn
