winner,roundname,home_score,away_behinds,away_score,year,home_behinds,away_goals,away_team,venue,home_goals,home_team,points_away,points_home,state
Port Adelaide,Round 21,47,14.0,56,2014,5.0,7.0,Port Adelaide,Carrara,7.0,Gold Coast,21.0,12.0,Queensland
Essendon,Round 21,77,8.0,74,2014,11.0,11.0,West Coast,Docklands,11.0,Essendon,19.0,22.0,Victoria
Brisbane Lions,Round 21,56,15.0,123,2014,8.0,18.0,Brisbane Lions,M.C.G.,8.0,Collingwood,33.0,16.0,Victoria
Richmond,Round 21,69,19.0,79,2014,15.0,10.0,Richmond,Adelaide Oval,9.0,Adelaide,29.0,24.0,South Australia
North Melbourne,Round 21,111,13.0,61,2014,9.0,8.0,Western Bulldogs,Docklands,17.0,North Melbourne,21.0,26.0,Victoria
Greater Western Sydney,Round 21,34,8.0,98,2014,16.0,15.0,Greater Western Sydney,M.C.G.,3.0,Melbourne,23.0,19.0,Victoria
Fremantle,Round 21,110,13.0,91,2014,8.0,13.0,Hawthorn,Subiaco,17.0,Fremantle,26.0,25.0,Western Australia
Port Adelaide,Round 22,140,7.0,37,2014,20.0,5.0,Carlton,Adelaide Oval,20.0,Port Adelaide,12.0,40.0,South Australia
North Melbourne,Round 22,101,16.0,94,2014,17.0,13.0,Adelaide,Bellerive Oval,14.0,North Melbourne,29.0,31.0,Victoria
Essendon,Round 22,108,11.0,89,2014,12.0,13.0,Gold Coast,Docklands,16.0,Essendon,24.0,28.0,Victoria
Collingwood,Round 22,67,9.0,75,2014,13.0,11.0,Collingwood,Sydney Showground,9.0,Greater Western Sydney,20.0,22.0,New South Wales
Hawthorn,Round 22,94,5.0,71,2014,10.0,11.0,Geelong,M.C.G.,14.0,Hawthorn,16.0,24.0,Victoria
West Coast,Round 22,119,5.0,53,2014,11.0,8.0,Melbourne,Subiaco,18.0,West Coast,13.0,29.0,Western Australia
Fremantle,Round 22,48,16.0,106,2014,12.0,15.0,Fremantle,Gabba,6.0,Brisbane Lions,31.0,18.0,Queensland
Sydney,Round 22,67,10.0,130,2014,13.0,20.0,Sydney,Docklands,9.0,Western Bulldogs,30.0,22.0,Victoria
Richmond,Round 22,98,12.0,72,2014,8.0,10.0,St Kilda,M.C.G.,15.0,Richmond,22.0,23.0,Victoria
Hawthorn,Round 23,56,13.0,121,2014,8.0,18.0,Hawthorn,M.C.G.,8.0,Collingwood,31.0,16.0,Victoria
,Round 23,90,12.0,90,2014,6.0,13.0,Essendon,M.C.G.,14.0,Carlton,25.0,20.0,Victoria
Fremantle,Round 23,105,13.0,97,2014,9.0,14.0,Port Adelaide,Subiaco,16.0,Fremantle,27.0,25.0,Western Australia
Richmond,Round 23,65,8.0,68,2014,11.0,10.0,Richmond,Stadium Australia,9.0,Sydney,18.0,20.0,New South Wales
Geelong,Round 23,143,9.0,81,2014,17.0,12.0,Brisbane Lions,GMHBA Stadium,21.0,Geelong,21.0,38.0,Victoria
North Melbourne,Round 23,123,9.0,93,2014,9.0,14.0,Melbourne,Docklands,19.0,North Melbourne,23.0,28.0,Victoria
West Coast,Round 23,99,13.0,151,2014,9.0,23.0,West Coast,Carrara,15.0,Gold Coast,36.0,24.0,Queensland
Adelaide,Round 23,141,8.0,62,2014,9.0,9.0,St Kilda,Adelaide Oval,22.0,Adelaide,17.0,31.0,South Australia
Greater Western Sydney,Round 23,109,7.0,115,2014,19.0,18.0,Greater Western Sydney,Docklands,15.0,Western Bulldogs,25.0,34.0,Victoria
Hawthorn,Qualifying Final,104,8.0,68,2014,14.0,10.0,Geelong,M.C.G.,15.0,Hawthorn,18.0,29.0,Victoria
Sydney,Qualifying Final,93,9.0,69,2014,15.0,10.0,Fremantle,Stadium Australia,13.0,Sydney,19.0,28.0,New South Wales
North Melbourne,Elimination Final,93,9.0,81,2014,9.0,12.0,Essendon,M.C.G.,14.0,North Melbourne,21.0,23.0,Victoria
Port Adelaide,Elimination Final,132,9.0,75,2014,12.0,11.0,Richmond,Adelaide Oval,20.0,Port Adelaide,20.0,32.0,South Australia
North Melbourne,Semi-Final,92,14.0,98,2014,14.0,14.0,North Melbourne,M.C.G.,13.0,Geelong,28.0,27.0,Victoria
Port Adelaide,Semi-Final,83,15.0,105,2014,17.0,15.0,Port Adelaide,Subiaco,11.0,Fremantle,30.0,28.0,Western Australia
Sydney,Preliminary Final,136,11.0,65,2014,22.0,9.0,North Melbourne,Stadium Australia,19.0,Sydney,20.0,41.0,New South Wales
Hawthorn,Preliminary Final,97,16.0,94,2014,7.0,13.0,Port Adelaide,M.C.G.,15.0,Hawthorn,29.0,22.0,Victoria
Hawthorn,Grand Final,74,11.0,137,2014,8.0,21.0,Hawthorn,M.C.G.,11.0,Sydney,32.0,19.0,New South Wales
Richmond,Round 1,78,15.0,105,2015,12.0,15.0,Richmond,M.C.G.,11.0,Carlton,30.0,23.0,Victoria
Melbourne,Round 1,115,11.0,89,2015,13.0,13.0,Gold Coast,M.C.G.,17.0,Melbourne,24.0,30.0,Victoria
Sydney,Round 1,72,6.0,60,2015,12.0,9.0,Essendon,Stadium Australia,10.0,Sydney,15.0,22.0,New South Wales
Collingwood,Round 1,74,14.0,86,2015,8.0,12.0,Collingwood,Gabba,11.0,Brisbane Lions,26.0,19.0,Queensland
