winner,roundname,home_score,away_behinds,away_score,year,home_behinds,away_goals,away_team,venue,home_goals,home_team,points_away,points_home,state
West Coast,Round 21,90,8.0,80,2019,12.0,12.0,Adelaide,Perth Stadium,13.0,West Coast,20.0,25.0,Western Australia
Sydney,Round 22,42,5.0,95,2019,12.0,15.0,Sydney,M.C.G.,5.0,Melbourne,20.0,17.0,Victoria
Carlton,Round 22,78,8.0,68,2019,12.0,10.0,St Kilda,M.C.G.,11.0,Carlton,18.0,23.0,Victoria
Brisbane Lions,Round 22,75,14.0,74,2019,15.0,10.0,Geelong,Gabba,10.0,Brisbane Lions,24.0,25.0,Queensland
Collingwood,Round 22,48,12.0,114,2019,12.0,17.0,Collingwood,Adelaide Oval,6.0,Adelaide,29.0,18.0,South Australia
North Melbourne,Round 22,144,10.0,58,2019,12.0,8.0,Port Adelaide,Marvel Stadium,22.0,North Melbourne,18.0,34.0,Victoria
Essendon,Round 22,55,9.0,87,2019,13.0,13.0,Essendon,Perth Stadium,7.0,Fremantle,22.0,20.0,Western Australia
Richmond,Round 22,88,4.0,82,2019,10.0,13.0,West Coast,M.C.G.,13.0,Richmond,17.0,23.0,Victoria
Western Bulldogs,Round 22,65,12.0,126,2019,11.0,19.0,Western Bulldogs,Sydney Showground,9.0,Greater Western Sydney,31.0,20.0,New South Wales
Hawthorn,Round 22,118,6.0,48,2019,10.0,7.0,Gold Coast,Marvel Stadium,18.0,Hawthorn,13.0,28.0,Victoria
Richmond,Round 23,82,7.0,55,2019,10.0,8.0,Brisbane Lions,M.C.G.,12.0,Richmond,15.0,22.0,Victoria
Hawthorn,Round 23,67,9.0,105,2019,13.0,16.0,Hawthorn,Perth Stadium,9.0,West Coast,25.0,22.0,Western Australia
North Melbourne,Round 23,88,11.0,83,2019,10.0,12.0,Melbourne,Bellerive Oval,13.0,North Melbourne,23.0,23.0,Victoria
Greater Western Sydney,Round 23,55,7.0,127,2019,13.0,20.0,Greater Western Sydney,Carrara,7.0,Gold Coast,27.0,20.0,Queensland
Port Adelaide,Round 23,110,7.0,67,2019,20.0,10.0,Fremantle,Adelaide Oval,15.0,Port Adelaide,17.0,35.0,South Australia
Geelong,Round 23,129,13.0,61,2019,15.0,8.0,Carlton,Kardinia Park,19.0,Geelong,21.0,34.0,Victoria
Collingwood,Round 23,76,5.0,65,2019,16.0,10.0,Essendon,M.C.G.,10.0,Collingwood,15.0,26.0,Victoria
Western Bulldogs,Round 23,121,9.0,87,2019,13.0,13.0,Adelaide,Eureka Stadium,18.0,Western Bulldogs,22.0,31.0,Victoria
Sydney,Round 23,109,16.0,64,2019,7.0,8.0,St Kilda,S.C.G.,17.0,Sydney,24.0,24.0,New South Wales
West Coast,Elimination Final,116,7.0,61,2019,14.0,9.0,Essendon,Perth Stadium,17.0,West Coast,16.0,31.0,Western Australia
Collingwood,Qualifying Final,51,7.0,61,2019,9.0,9.0,Collingwood,M.C.G.,7.0,Geelong,16.0,16.0,Victoria
Greater Western Sydney,Elimination Final,113,7.0,55,2019,17.0,8.0,Western Bulldogs,Sydney Showground,16.0,Greater Western Sydney,15.0,33.0,New South Wales
Richmond,Qualifying Final,65,4.0,112,2019,17.0,18.0,Richmond,Gabba,8.0,Brisbane Lions,22.0,25.0,Queensland
Geelong,Semi-Final,88,8.0,68,2019,10.0,10.0,West Coast,M.C.G.,13.0,Geelong,18.0,23.0,Victoria
Greater Western Sydney,Semi-Final,80,11.0,83,2019,14.0,12.0,Greater Western Sydney,Gabba,11.0,Brisbane Lions,23.0,25.0,Queensland
Richmond,Preliminary Final,85,12.0,66,2019,13.0,9.0,Geelong,M.C.G.,12.0,Richmond,21.0,25.0,Victoria
Greater Western Sydney,Preliminary Final,52,8.0,56,2019,10.0,8.0,Greater Western Sydney,M.C.G.,7.0,Collingwood,16.0,17.0,Victoria
Richmond,Grand Final,114,7.0,25,2019,12.0,3.0,Greater Western Sydney,M.C.G.,17.0,Richmond,10.0,29.0,Victoria
Richmond,Round 1,105,9.0,81,2020,9.0,12.0,Carlton,M.C.G.,16.0,Richmond,21.0,25.0,Victoria
Collingwood,Round 1,34,8.0,86,2020,4.0,13.0,Collingwood,Docklands,5.0,Western Bulldogs,21.0,9.0,Victoria
Essendon,Round 1,63,9.0,57,2020,9.0,8.0,Fremantle,Docklands,9.0,Essendon,17.0,18.0,Victoria
Sydney,Round 1,71,8.0,74,2020,5.0,11.0,Sydney,Adelaide Oval,11.0,Adelaide,19.0,16.0,South Australia
Greater Western Sydney,Round 1,105,7.0,73,2020,3.0,11.0,Geelong,Sydney Showground,17.0,Greater Western Sydney,18.0,20.0,New South Wales
Port Adelaide,Round 1,29,16.0,76,2020,5.0,10.0,Port Adelaide,Carrara,4.0,Gold Coast,26.0,9.0,Queensland
North Melbourne,Round 1,56,12.0,54,2020,8.0,7.0,St Kilda,Docklands,8.0,North Melbourne,19.0,16.0,Victoria
Hawthorn,Round 1,90,8.0,62,2020,6.0,9.0,Brisbane Lions,M.C.G.,14.0,Hawthorn,17.0,20.0,Victoria
West Coast,Round 1,78,9.0,51,2020,6.0,7.0,Melbourne,Perth Stadium,12.0,West Coast,16.0,18.0,Western Australia
,Round 2,36,6.0,36,2020,6.0,5.0,Richmond,M.C.G.,5.0,Collingwood,11.0,11.0,Victoria
Geelong,Round 2,108,5.0,47,2020,6.0,7.0,Hawthorn,Kardinia Park,17.0,Geelong,12.0,23.0,Victoria
Brisbane Lions,Round 2,81,9.0,69,2020,9.0,10.0,Fremantle,Gabba,12.0,Brisbane Lions,19.0,21.0,Queensland
Melbourne,Round 2,53,6.0,54,2020,11.0,8.0,Melbourne,Docklands,7.0,Carlton,14.0,18.0,Victoria
Gold Coast,Round 2,90,10.0,46,2020,6.0,6.0,West Coast,Carrara,14.0,Gold Coast,16.0,20.0,Queensland
Port Adelaide,Round 2,110,5.0,35,2020,8.0,5.0,Adelaide,Adelaide Oval,17.0,Port Adelaide,10.0,25.0,South Australia
North Melbourne,Round 2,60,8.0,80,2020,12.0,12.0,North Melbourne,Sydney Showground,8.0,Greater Western Sydney,20.0,20.0,New South Wales
Essendon,Round 2,73,7.0,79,2020,7.0,12.0,Essendon,S.C.G.,11.0,Sydney,19.0,18.0,New South Wales
St Kilda,Round 2,88,7.0,49,2020,4.0,7.0,Western Bulldogs,Docklands,14.0,St Kilda,14.0,18.0,Victoria
Hawthorn,Round 3,39,5.0,71,2020,9.0,11.0,Hawthorn,M.C.G.,5.0,Richmond,16.0,14.0,Victoria
Western Bulldogs,Round 3,57,9.0,33,2020,9.0,4.0,Greater Western Sydney,Docklands,8.0,Western Bulldogs,13.0,17.0,Victoria
Sydney,Round 3,60,11.0,71,2020,12.0,10.0,Sydney,Docklands,8.0,North Melbourne,21.0,20.0,Victoria
Collingwood,Round 3,81,7.0,37,2020,9.0,5.0,St Kilda,M.C.G.,12.0,Collingwood,12.0,21.0,Victoria
Brisbane Lions,Round 3,74,8.0,44,2020,14.0,6.0,West Coast,Gabba,10.0,Brisbane Lions,14.0,24.0,Queensland
Carlton,Round 3,77,7.0,79,2020,11.0,12.0,Carlton,Kardinia Park,11.0,Geelong,19.0,22.0,Victoria
Gold Coast,Round 3,82,5.0,29,2020,10.0,4.0,Adelaide,Carrara,12.0,Gold Coast,9.0,22.0,Queensland
Port Adelaide,Round 3,41,10.0,70,2020,5.0,10.0,Port Adelaide,Carrara,6.0,Fremantle,20.0,11.0,Western Australia
Western Bulldogs,Round 4,39,7.0,67,2020,9.0,10.0,Western Bulldogs,S.C.G.,5.0,Sydney,17.0,14.0,New South Wales
Greater Western Sydney,Round 4,66,10.0,64,2020,6.0,9.0,Collingwood,Sydney Showground,10.0,Greater Western Sydney,19.0,16.0,New South Wales
Port Adelaide,Round 4,89,5.0,41,2020,11.0,6.0,West Coast,Carrara,13.0,Port Adelaide,11.0,24.0,South Australia
St Kilda,Round 4,93,7.0,67,2020,3.0,10.0,Richmond,Docklands,15.0,St Kilda,17.0,18.0,Victoria
Carlton,Round 4,51,10.0,52,2020,3.0,7.0,Carlton,M.C.G.,8.0,Essendon,17.0,11.0,Victoria
Gold Coast,Round 4,64,3.0,51,2020,4.0,8.0,Fremantle,Carrara,10.0,Gold Coast,11.0,14.0,Queensland
Brisbane Lions,Round 4,83,4.0,46,2020,23.0,7.0,Adelaide,Gabba,10.0,Brisbane Lions,11.0,33.0,Queensland
Geelong,Round 4,44,5.0,47,2020,8.0,7.0,Geelong,M.C.G.,6.0,Melbourne,12.0,14.0,Victoria
Hawthorn,Round 4,58,6.0,54,2020,10.0,8.0,North Melbourne,Docklands,8.0,Hawthorn,14.0,18.0,Victoria
Essendon,Round 5,48,3.0,63,2020,6.0,10.0,Essendon,M.C.G.,7.0,Collingwood,13.0,13.0,Victoria
St Kilda,Round 5,55,7.0,73,2020,7.0,11.0,St Kilda,Docklands,8.0,Carlton,18.0,15.0,Victoria
Geelong,Round 5,89,4.0,52,2020,11.0,8.0,Gold Coast,Kardinia Park,13.0,Geelong,12.0,24.0,Victoria
Western Bulldogs,Round 5,87,8.0,38,2020,9.0,5.0,North Melbourne,Docklands,13.0,Western Bulldogs,13.0,22.0,Victoria
Brisbane Lions,Round 5,85,12.0,48,2020,13.0,6.0,Port Adelaide,Gabba,12.0,Brisbane Lions,18.0,25.0,Queensland
Fremantle,Round 5,34,6.0,54,2020,10.0,8.0,Fremantle,Carrara,4.0,Adelaide,14.0,14.0,South Australia
Greater Western Sydney,Round 5,83,7.0,49,2020,5.0,7.0,Hawthorn,Sydney Showground,13.0,Greater Western Sydney,14.0,18.0,New South Wales
West Coast,Round 5,77,7.0,43,2020,11.0,6.0,Sydney,Carrara,11.0,West Coast,13.0,22.0,Western Australia
Richmond,Round 5,52,7.0,79,2020,4.0,12.0,Richmond,M.C.G.,8.0,Melbourne,19.0,12.0,Victoria
Geelong,Round 6,73,10.0,46,2020,7.0,6.0,Brisbane Lions,S.C.G.,11.0,Geelong,16.0,18.0,Victoria
Collingwood,Round 6,59,9.0,27,2020,11.0,3.0,Hawthorn,Sydney Showground,8.0,Collingwood,12.0,19.0,Victoria
Fremantle,Round 6,79,7.0,73,2020,7.0,11.0,St Kilda,Carrara,12.0,Fremantle,18.0,19.0,Western Australia
West Coast,Round 6,67,4.0,34,2020,7.0,5.0,Adelaide,Gabba,10.0,West Coast,9.0,17.0,Western Australia
Melbourne,Round 6,80,9.0,63,2020,8.0,9.0,Gold Coast,Sydney Showground,12.0,Melbourne,18.0,20.0,Victoria
Essendon,Round 6,67,11.0,53,2020,13.0,7.0,North Melbourne,Carrara,9.0,Essendon,18.0,22.0,Victoria
Port Adelaide,Round 6,63,10.0,46,2020,9.0,6.0,Greater Western Sydney,Carrara,9.0,Port Adelaide,16.0,18.0,South Australia
Richmond,Round 6,34,8.0,26,2020,10.0,3.0,Sydney,Gabba,4.0,Richmond,11.0,14.0,Victoria
Carlton,Round 6,103,9.0,51,2020,7.0,7.0,Western Bulldogs,Carrara,16.0,Carlton,16.0,23.0,Victoria
Collingwood,Round 7,35,9.0,57,2020,5.0,8.0,Collingwood,Perth Stadium,5.0,Geelong,17.0,10.0,Victoria
Western Bulldogs,Round 7,51,9.0,93,2020,9.0,14.0,Western Bulldogs,Carrara,7.0,Essendon,23.0,16.0,Victoria
Brisbane Lions,Round 7,68,10.0,88,2020,8.0,13.0,Brisbane Lions,Sydney Showground,10.0,Greater Western Sydney,23.0,18.0,New South Wales
Gold Coast,Round 7,60,14.0,92,2020,6.0,13.0,Gold Coast,S.C.G.,9.0,Sydney,27.0,15.0,New South Wales
Richmond,Round 7,77,11.0,23,2020,11.0,2.0,North Melbourne,Carrara,11.0,Richmond,13.0,22.0,Victoria
Port Adelaide,Round 7,61,10.0,64,2020,7.0,9.0,Port Adelaide,Gabba,9.0,Carlton,19.0,16.0,Victoria
Melbourne,Round 7,48,7.0,91,2020,6.0,14.0,Melbourne,Sydney Showground,7.0,Hawthorn,21.0,13.0,Victoria
West Coast,Round 7,32,8.0,62,2020,2.0,9.0,West Coast,Perth Stadium,5.0,Fremantle,17.0,7.0,Western Australia
St Kilda,Round 7,55,6.0,78,2020,7.0,12.0,St Kilda,Adelaide Oval,8.0,Adelaide,18.0,15.0,South Australia
Western Bulldogs,Round 8,46,9.0,51,2020,10.0,7.0,Western Bulldogs,Carrara,6.0,Gold Coast,16.0,16.0,Queensland
Greater Western Sydney,Round 8,62,14.0,50,2020,8.0,6.0,Richmond,Sydney Showground,9.0,Greater Western Sydney,20.0,17.0,New South Wales
Carlton,Round 8,57,10.0,64,2020,3.0,9.0,Carlton,Gabba,9.0,North Melbourne,19.0,12.0,Victoria
Sydney,Round 8,60,11.0,53,2020,6.0,7.0,Hawthorn,S.C.G.,9.0,Sydney,18.0,15.0,New South Wales
St Kilda,Round 8,44,1.0,73,2020,8.0,12.0,St Kilda,Adelaide Oval,6.0,Port Adelaide,13.0,14.0,South Australia
Essendon,Round 8,59,8.0,62,2020,11.0,9.0,Essendon,Adelaide Oval,8.0,Adelaide,17.0,19.0,South Australia
West Coast,Round 8,111,9.0,45,2020,3.0,6.0,Collingwood,Perth Stadium,18.0,West Coast,15.0,21.0,Western Australia
Brisbane Lions,Round 8,49,11.0,53,2020,7.0,7.0,Brisbane Lions,Carrara,7.0,Melbourne,18.0,14.0,Victoria
Geelong,Round 8,16,12.0,48,2020,4.0,6.0,Geelong,Perth Stadium,2.0,Fremantle,18.0,6.0,Western Australia
Richmond,Round 9,49,12.0,90,2020,7.0,13.0,Richmond,Carrara,7.0,Western Bulldogs,25.0,14.0,Victoria
Hawthorn,Round 9,58,5.0,89,2020,4.0,14.0,Hawthorn,Perth Stadium,9.0,Carlton,19.0,13.0,Victoria
Port Adelaide,Round 9,32,11.0,83,2020,8.0,12.0,Port Adelaide,Gabba,4.0,Melbourne,23.0,12.0,Victoria
Brisbane Lions,Round 9,28,7.0,91,2020,10.0,14.0,Brisbane Lions,Carrara,3.0,Essendon,21.0,13.0,Victoria
North Melbourne,Round 9,119,8.0,50,2020,5.0,7.0,Adelaide,Carrara,19.0,North Melbourne,15.0,24.0,Victoria
St Kilda,Round 9,101,12.0,48,2020,11.0,6.0,Sydney,Gabba,15.0,St Kilda,18.0,26.0,Victoria
West Coast,Round 9,73,4.0,64,2020,7.0,10.0,Geelong,Perth Stadium,11.0,West Coast,14.0,18.0,Western Australia
Greater Western Sydney,Round 9,35,7.0,61,2020,11.0,9.0,Greater Western Sydney,Carrara,4.0,Gold Coast,16.0,15.0,Queensland
Fremantle,Round 9,61,7.0,49,2020,1.0,7.0,Collingwood,Perth Stadium,10.0,Fremantle,14.0,11.0,Western Australia
Port Adelaide,Round 10,55,12.0,42,2020,7.0,5.0,Western Bulldogs,Adelaide Oval,8.0,Port Adelaide,17.0,15.0,South Australia
Richmond,Round 10,82,17.0,41,2020,10.0,4.0,Brisbane Lions,Carrara,12.0,Richmond,21.0,22.0,Victoria
Geelong,Round 10,90,3.0,57,2020,12.0,9.0,North Melbourne,Gabba,13.0,Geelong,12.0,25.0,Victoria
Melbourne,Round 10,37,10.0,88,2020,7.0,13.0,Melbourne,Adelaide Oval,5.0,Adelaide,23.0,12.0,South Australia
Collingwood,Round 10,50,5.0,41,2020,14.0,6.0,Sydney,Gabba,6.0,Collingwood,11.0,20.0,Victoria
St Kilda,Round 10,74,6.0,78,2020,8.0,12.0,St Kilda,Carrara,11.0,Gold Coast,18.0,19.0,Queensland
Greater Western Sydney,Round 10,55,11.0,59,2020,7.0,8.0,Greater Western Sydney,Carrara,8.0,Essendon,19.0,15.0,Victoria
Port Adelaide,Round 11,93,6.0,72,2020,15.0,11.0,Richmond,Adelaide Oval,13.0,Port Adelaide,17.0,28.0,South Australia
Brisbane Lions,Round 11,96,6.0,72,2020,12.0,11.0,Western Bulldogs,Gabba,14.0,Brisbane Lions,17.0,26.0,Queensland
West Coast,Round 11,72,8.0,50,2020,6.0,7.0,Carlton,Perth Stadium,11.0,West Coast,15.0,17.0,Western Australia
Melbourne,Round 11,92,5.0,35,2020,14.0,5.0,North Melbourne,Adelaide Oval,13.0,Melbourne,10.0,27.0,Victoria
Geelong,Round 11,34,9.0,93,2020,10.0,14.0,Geelong,Gabba,4.0,St Kilda,23.0,14.0,Victoria
Fremantle,Round 11,48,8.0,32,2020,6.0,4.0,Hawthorn,Perth Stadium,7.0,Fremantle,12.0,13.0,Western Australia
Collingwood,Round 11,38,2.0,62,2020,8.0,10.0,Collingwood,Adelaide Oval,5.0,Adelaide,12.0,13.0,South Australia
,Round 11,73,7.0,73,2020,7.0,11.0,Essendon,Carrara,11.0,Gold Coast,18.0,18.0,Queensland
Sydney,Round 12,66,7.0,25,2020,6.0,3.0,Greater Western Sydney,Perth Stadium,10.0,Sydney,10.0,16.0,New South Wales
Geelong,Round 12,91,7.0,31,2020,7.0,4.0,Port Adelaide,Carrara,14.0,Geelong,11.0,21.0,Victoria
Brisbane Lions,Round 12,52,11.0,53,2020,4.0,7.0,Brisbane Lions,Carrara,8.0,North Melbourne,18.0,12.0,Victoria
Melbourne,Round 12,100,8.0,44,2020,4.0,6.0,Collingwood,Gabba,16.0,Melbourne,14.0,20.0,Victoria
Carlton,Round 12,36,10.0,40,2020,6.0,5.0,Carlton,Perth Stadium,5.0,Fremantle,15.0,11.0,Western Australia
Western Bulldogs,Round 12,111,6.0,54,2020,15.0,8.0,Adelaide,Carrara,16.0,Western Bulldogs,14.0,31.0,Victoria
St Kilda,Round 12,68,3.0,33,2020,8.0,5.0,Essendon,Gabba,10.0,St Kilda,8.0,18.0,Victoria
West Coast,Round 12,81,7.0,49,2020,9.0,7.0,Hawthorn,Perth Stadium,12.0,West Coast,14.0,21.0,Western Australia
Richmond,Round 12,53,8.0,32,2020,5.0,4.0,Gold Coast,Gabba,8.0,Richmond,12.0,13.0,Victoria
Carlton,Round 13,27,18.0,60,2020,3.0,7.0,Carlton,Marrara Oval,4.0,Gold Coast,25.0,7.0,Queensland
Western Bulldogs,Round 13,80,10.0,52,2020,8.0,7.0,Melbourne,Carrara,12.0,Western Bulldogs,17.0,20.0,Victoria
Port Adelaide,Round 13,68,4.0,58,2020,14.0,9.0,Hawthorn,Adelaide Oval,9.0,Port Adelaide,13.0,23.0,South Australia
Richmond,Round 13,61,13.0,73,2020,1.0,10.0,Richmond,Marrara Oval,10.0,Essendon,23.0,11.0,Victoria
Fremantle,Round 13,50,7.0,19,2020,8.0,2.0,Sydney,Perth Stadium,7.0,Fremantle,9.0,15.0,Western Australia
Geelong,Round 13,37,11.0,65,2020,7.0,9.0,Geelong,Adelaide Oval,5.0,Adelaide,20.0,12.0,South Australia
Brisbane Lions,Round 13,50,6.0,48,2020,14.0,7.0,St Kilda,Gabba,6.0,Brisbane Lions,13.0,20.0,Queensland
West Coast,Round 13,61,7.0,49,2020,7.0,7.0,Greater Western Sydney,Perth Stadium,9.0,West Coast,14.0,16.0,Western Australia
Collingwood,Round 13,65,5.0,35,2020,5.0,5.0,North Melbourne,Gabba,10.0,Collingwood,10.0,15.0,Victoria
Essendon,Round 14,71,9.0,87,2020,11.0,13.0,Essendon,Adelaide Oval,10.0,Hawthorn,22.0,21.0,Victoria
Richmond,Round 14,88,7.0,61,2020,4.0,9.0,West Coast,Carrara,14.0,Richmond,16.0,18.0,Victoria
Geelong,Round 14,61,12.0,72,2020,7.0,10.0,Geelong,Carrara,9.0,Western Bulldogs,22.0,16.0,Victoria
Port Adelaide,Round 14,73,5.0,47,2020,7.0,7.0,Sydney,Adelaide Oval,11.0,Port Adelaide,12.0,18.0,South Australia
Greater Western Sydney,Round 14,53,7.0,91,2020,5.0,14.0,Greater Western Sydney,Perth Stadium,8.0,Fremantle,21.0,13.0,Western Australia
Melbourne,Round 14,52,7.0,49,2020,4.0,7.0,St Kilda,Traeger Park,8.0,Melbourne,14.0,12.0,Victoria
Collingwood,Round 14,48,12.0,72,2020,6.0,10.0,Collingwood,Gabba,7.0,Carlton,22.0,13.0,Victoria
Gold Coast,Round 14,91,4.0,28,2020,19.0,4.0,North Melbourne,Carrara,12.0,Gold Coast,8.0,31.0,Queensland
Adelaide,Round 15,48,11.0,83,2020,6.0,12.0,Adelaide,Adelaide Oval,7.0,Hawthorn,23.0,13.0,Victoria
West Coast,Round 15,60,9.0,45,2020,6.0,6.0,Essendon,Gabba,9.0,West Coast,15.0,15.0,Western Australia
Richmond,Round 15,56,5.0,29,2020,8.0,4.0,Fremantle,Carrara,8.0,Richmond,9.0,16.0,Victoria
Sydney,Round 15,67,10.0,46,2020,7.0,6.0,Melbourne,Cazaly's Stadium,10.0,Sydney,16.0,17.0,New South Wales
Greater Western Sydney,Round 15,48,9.0,39,2020,12.0,5.0,Carlton,Carrara,6.0,Greater Western Sydney,14.0,18.0,New South Wales
Brisbane Lions,Round 15,42,4.0,34,2020,6.0,5.0,Collingwood,Gabba,6.0,Brisbane Lions,9.0,12.0,Queensland
Port Adelaide,Round 16,42,12.0,78,2020,6.0,11.0,Port Adelaide,Carrara,6.0,North Melbourne,23.0,12.0,Victoria
St Kilda,Round 16,80,12.0,66,2020,14.0,9.0,Hawthorn,Carrara,11.0,St Kilda,21.0,25.0,Victoria
Geelong,Round 16,108,12.0,42,2020,6.0,5.0,Essendon,Gabba,17.0,Geelong,17.0,23.0,Victoria
Western Bulldogs,Round 16,49,5.0,47,2020,13.0,7.0,West Coast,Carrara,6.0,Western Bulldogs,12.0,19.0,Victoria
Fremantle,Round 16,33,11.0,47,2020,9.0,6.0,Fremantle,Cazaly's Stadium,4.0,Melbourne,17.0,13.0,Victoria
Adelaide,Round 16,59,5.0,47,2020,11.0,7.0,Greater Western Sydney,Adelaide Oval,8.0,Adelaide,12.0,19.0,South Australia
Carlton,Round 16,57,4.0,52,2020,9.0,8.0,Sydney,Carrara,8.0,Carlton,12.0,17.0,Victoria
Brisbane Lions,Round 16,88,7.0,43,2020,10.0,6.0,Gold Coast,Gabba,13.0,Brisbane Lions,13.0,23.0,Queensland
West Coast,Round 17,50,11.0,65,2020,14.0,9.0,West Coast,Gabba,6.0,St Kilda,20.0,20.0,Victoria
Richmond,Round 17,31,15.0,57,2020,7.0,7.0,Richmond,Carrara,4.0,Geelong,22.0,11.0,Victoria
Fremantle,Round 17,35,9.0,99,2020,5.0,15.0,Fremantle,Carrara,5.0,North Melbourne,24.0,10.0,Victoria
Port Adelaide,Round 17,79,5.0,29,2020,13.0,4.0,Essendon,Adelaide Oval,11.0,Port Adelaide,9.0,24.0,South Australia
Melbourne,Round 17,74,7.0,79,2020,8.0,12.0,Melbourne,Gabba,11.0,Greater Western Sydney,19.0,19.0,New South Wales
Adelaide,Round 17,56,12.0,72,2020,8.0,10.0,Adelaide,Carrara,8.0,Carlton,22.0,16.0,Victoria
Western Bulldogs,Round 17,40,10.0,76,2020,4.0,11.0,Western Bulldogs,Adelaide Oval,6.0,Hawthorn,21.0,10.0,Victoria
Brisbane Lions,Round 17,41,7.0,73,2020,5.0,11.0,Brisbane Lions,Cazaly's Stadium,6.0,Sydney,18.0,11.0,New South Wales
Collingwood,Round 17,68,10.0,46,2020,8.0,6.0,Gold Coast,Gabba,10.0,Collingwood,16.0,18.0,Victoria
Richmond,Round 18,33,5.0,77,2020,9.0,12.0,Richmond,Adelaide Oval,4.0,Adelaide,17.0,13.0,South Australia
Brisbane Lions,Round 18,78,1.0,61,2020,12.0,10.0,Carlton,Gabba,11.0,Brisbane Lions,11.0,23.0,Queensland
Port Adelaide,Round 18,45,7.0,61,2020,3.0,9.0,Port Adelaide,Gabba,7.0,Collingwood,16.0,10.0,Victoria
Melbourne,Round 18,49,8.0,68,2020,7.0,10.0,Melbourne,Carrara,7.0,Essendon,18.0,14.0,Victoria
Western Bulldogs,Round 18,44,8.0,74,2020,8.0,11.0,Western Bulldogs,Cazaly's Stadium,6.0,Fremantle,19.0,14.0,Western Australia
Hawthorn,Round 18,108,9.0,57,2020,6.0,8.0,Gold Coast,Adelaide Oval,17.0,Hawthorn,17.0,23.0,Victoria
West Coast,Round 18,34,7.0,49,2020,10.0,7.0,West Coast,Carrara,4.0,North Melbourne,14.0,14.0,Victoria
St Kilda,Round 18,82,12.0,30,2020,10.0,3.0,Greater Western Sydney,Gabba,12.0,St Kilda,15.0,22.0,Victoria
Geelong,Round 18,63,9.0,69,2020,9.0,10.0,Geelong,Carrara,9.0,Sydney,19.0,18.0,New South Wales
Port Adelaide,Qualifying Final,58,12.0,42,2020,4.0,5.0,Geelong,Adelaide Oval,9.0,Port Adelaide,17.0,13.0,South Australia
Brisbane Lions,Qualifying Final,69,6.0,54,2020,9.0,8.0,Richmond,Gabba,10.0,Brisbane Lions,14.0,19.0,Queensland
St Kilda,Elimination Final,67,10.0,64,2020,7.0,9.0,Western Bulldogs,Gabba,10.0,St Kilda,19.0,17.0,Victoria
Collingwood,Elimination Final,75,4.0,76,2020,9.0,12.0,Collingwood,Perth Stadium,11.0,West Coast,16.0,20.0,Western Australia
Richmond,Semi-Final,80,13.0,49,2020,8.0,6.0,St Kilda,Carrara,12.0,Richmond,19.0,20.0,Victoria
Geelong,Semi-Final,100,2.0,32,2020,10.0,5.0,Collingwood,Gabba,15.0,Geelong,7.0,25.0,Victoria
Richmond,Preliminary Final,40,10.0,46,2020,4.0,6.0,Richmond,Adelaide Oval,6.0,Port Adelaide,16.0,10.0,South Australia
Geelong,Preliminary Final,42,16.0,82,2020,6.0,11.0,Geelong,Gabba,6.0,Brisbane Lions,27.0,12.0,Queensland
Richmond,Grand Final,81,8.0,50,2020,9.0,7.0,Geelong,Gabba,12.0,Richmond,15.0,21.0,Victoria
Richmond,Round 1,105,14.0,80,2021,15.0,11.0,Carlton,M.C.G.,15.0,Richmond,25.0,30.0,Victoria
Western Bulldogs,Round 1,53,9.0,69,2021,11.0,10.0,Western Bulldogs,M.C.G.,7.0,Collingwood,19.0,18.0,Victoria
Melbourne,Round 1,80,10.0,58,2021,14.0,8.0,Fremantle,M.C.G.,11.0,Melbourne,18.0,25.0,Victoria
Adelaide,Round 1,103,13.0,91,2021,13.0,13.0,Geelong,Adelaide Oval,15.0,Adelaide,26.0,28.0,South Australia
Hawthorn,Round 1,91,8.0,92,2021,13.0,14.0,Hawthorn,Docklands,13.0,Essendon,22.0,26.0,Victoria
Sydney,Round 1,94,11.0,125,2021,10.0,19.0,Sydney,Gabba,14.0,Brisbane Lions,30.0,24.0,Queensland
Port Adelaide,Round 1,65,15.0,117,2021,11.0,17.0,Port Adelaide,Docklands,9.0,North Melbourne,32.0,20.0,Victoria
St Kilda,Round 1,78,8.0,86,2021,12.0,13.0,St Kilda,Sydney Showground,11.0,Greater Western Sydney,21.0,23.0,New South Wales
West Coast,Round 1,83,10.0,58,2021,11.0,8.0,Gold Coast,Perth Stadium,12.0,West Coast,18.0,23.0,Western Australia
Collingwood,Round 2,85,10.0,106,2021,7.0,16.0,Collingwood,M.C.G.,13.0,Carlton,26.0,20.0,Victoria
Geelong,Round 2,81,14.0,80,2021,9.0,11.0,Brisbane Lions,Kardinia Park,12.0,Geelong,25.0,21.0,Victoria
Sydney,Round 2,121,22.0,88,2021,13.0,11.0,Adelaide,S.C.G.,18.0,Sydney,33.0,31.0,New South Wales
Port Adelaide,Round 2,119,11.0,65,2021,11.0,9.0,Essendon,Adelaide Oval,18.0,Port Adelaide,20.0,29.0,South Australia
Melbourne,Round 2,73,19.0,91,2021,7.0,12.0,Melbourne,Docklands,11.0,St Kilda,31.0,18.0,Victoria
Gold Coast,Round 2,98,9.0,39,2021,14.0,5.0,North Melbourne,Carrara,14.0,Gold Coast,14.0,28.0,Queensland
Richmond,Round 2,49,12.0,78,2021,7.0,11.0,Richmond,M.C.G.,7.0,Hawthorn,23.0,14.0,Victoria
